"Reference","Qty","Value","Footprint","Datasheet","ManufacturerPartNumber","Supplier","SupplierPartNumber","SupplierURL","UnitPriceINR","XaltenPartNumber","Manufacturer","Description"
"C1,C3,C5","3","10uF,25V","XaltenFootprints:C0603","~","","","","","","","","Unpolarized capacitor"
"C2,C4,C6","3","22uF,25V","XaltenFootprints:C0603","~","","","","","","","","Unpolarized capacitor"
"C7,C8","2","1uF,25V","XaltenFootprints:C0603","~","","","","","","","","Unpolarized capacitor"
"C9","1","4.7uF,25V","XaltenFootprints:C1206","~","TAJA475K025RNJ","Element14","1658146","https://in.element14.com/avx/taja475k025rnj/cap-4-7-f-25v-10-1206-smd/dp/1658146","41.19","C1206-4.7uF-25V-TAN","Kyocera AVX","4.7uF, 25V, Tantalum, +/-10%, 1206"
"C10,C11,C12,C22,C24,C28,C36,C45,C46,C48,C51,C54","12","100nF,25V","XaltenFootprints:C0603","~","","","","","","","","Unpolarized capacitor"
"C13,C14","2","3.9nF,25V","XaltenFootprints:C0603","~","","","","","","","","Unpolarized capacitor"
"C15,C30","2","10nF,200V","XaltenFootprints:C0603","~","","","","","","","","Unpolarized capacitor"
"C16,C17","2","22nF,200V","XaltenFootprints:C0603","~","","","","","","","","Unpolarized capacitor"
"C18","1","1000uF,16V","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~","EEUFR1C102LJ","Element14","4126965","https://in.element14.com/panasonic/eeufr1c102lj/cap-alu-elec-1000uf-16vdc-radial/dp/4126965","85.1","C-THT-1000uF-16V-ELEC","Panasonic","1000uF, 16V, Electrolytic, +/-20%, D8.0mm_P3.50mm"
"C19,C20","2","470uF,25V","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~","RET0816471M025B","Element14","4659280","https://in.element14.com/kyocera-avx/ret0816471m025b/cap-alu-elec-470uf-25v-radial/dp/4659280","18.95","C-THT-470uF-25V-ELEC","Kyocera AVX","470uF, 25V, +/-20%, Electrolytic, D8.0mm_P3.50mm"
"C21,C23,C27,C47,C50,C53","6","2.2uF,25V","XaltenFootprints:C0603","~","","","","","","","","Unpolarized capacitor"
"C25,C29,C37,C40,C49,C52,C55","7","100pF,25V","XaltenFootprints:C0603","~","","","","","","","","Unpolarized capacitor"
"C26","1","1uF,16V","","~","","","","","","","","Unpolarized capacitor"
"C34","1","2pF,25V","XaltenFootprints:C0603","~","","","","","","","","Unpolarized capacitor"
"C35,C42","2","1nF,25V","XaltenFootprints:C0603","~","","","","","","","","Unpolarized capacitor"
"C38","1","121pF,25V","XaltenFootprints:C0603","~","","","","","","","","Unpolarized capacitor"
"C39","1","715pF,25V","XaltenFootprints:C0603","~","","","","","","","","Unpolarized capacitor"
"C41","1","1.21nF,25V","XaltenFootprints:C0603","~","","","","","","","","Unpolarized capacitor"
"C43","1","3.16nF,25V","XaltenFootprints:C0603","~","","","","","","","","Unpolarized capacitor"
"C44","1","2.26nF,25V","XaltenFootprints:C0603","~","","","","","","","","Unpolarized capacitor"
"CR1","1","SM712-02HTG","XaltenFootprints:SOT-23-3","SM712-02HTG","SM712-02HTG","Element14","2749175","https://in.element14.com/littelfuse/sm712-02htg/diode-esd-protection-aec-q101/dp/2749175","58.77","D-TVS-12V","LittleFuse","TVS Diode, 12V"
"D1,D3","2","1N4148W","XaltenFootprints:SOD-123","~","1N4148W","Element14","4553362","https://in.element14.com/diotec/1n4148w/small-signal-switching-diode-sod/dp/4553362","4.14","D-RCT-75V-150mA","Diotec Semiconductor","Small signal switching diode, 75V, 150mA, SOD123"
"D2,D4,D5,D6","4","AU1PMHM3_84A","","~","AU1PMHM3_84A","Mouser","625-AU1PMHM3/84A","https://www.mouser.in/ProductDetail/Vishay-Semiconductors/AU1PMHM3-84A?qs=z5NHsHGj0DHAe1hH1SUE%252Bg%3D%3D","22.46","D-RCT-","Vishay","Diode"
"IC1","1","2EDN8534FXTMA1","Echosounder Transceiver FP:SOIC127P602X173-8N","","2EDN8534FXTMA1","Mouser","726-2EDN8534FXTMA1","https://www.mouser.in/ProductDetail/Infineon-Technologies/2EDN8534FXTMA1?qs=iLbezkQI%252Bsj2y%2F5C7Nn4og%3D%3D","60.19","DRV-MOS","Infineon","Gate Driver IC,DRIVER IC PG-DSO-8"
"J1","1","3 Pin JST XH","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~","","","","","","","","Generic connector, single row, 01x03, script generated"
"J2,J5","2","2 Pin JST XH","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","","","","","","","","Generic connector, single row, 01x02, script generated"
"J4","1","Pin Header 2 Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","Generic connector, single row, 01x02, script generated"
"J6","1","Pin Header 4 Pin","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","","","Generic connector, single row, 01x04, script generated"
"J7","1","Pin Header 3 Pin","","~","","","","","","","","Generic connector, single row, 01x03, script generated"
"J8","1","Conn_01x02_Pin","","~","","","","","","","","Generic connector, single row, 01x02, script generated"
"J9","1","Conn_01x04_Pin","","~","","","","","","","","Generic connector, single row, 01x04, script generated"
"L1","1","33uH,840mA","Echosounder Transceiver FP:INDPM4040X300N","~","ASPI-4030S-330M-T","Element14","2849535","https://in.element14.com/abracon/aspi-4030s-330m-t/inductor-33uh-0-84a-20-shielded/dp/2849535","22.4","L-33uH-840mA","Abracon","Shielded Power Inductor, 33uH, 840mA RMS Current, 1.1A Saturation Current"
"Q1,Q3","2","SIR622DP-T1-RE3","Echosounder Transceiver FP:SIR622DPT1RE3","","SIR622DP-T1-RE3","Element14","3019113","https://in.element14.com/vishay/sir622dp-t1-re3/mosfet-n-ch-51-6a-150v-powerpak/dp/3019113","124.04","NMOS-40V-69A","Vishay","N-Channel TrenchMOS, 69A Id, 40V Vds, 8mOhm Ron, 23.8nC Qqd, LFPAK33"
"R1,R23,R24","3","680R,1%","XaltenFootprints:R0603","~","","","","","","","","Resistor"
"R2,R4,R7,R8","4","100R,1%","XaltenFootprints:R0603","~","","","","","","","","Resistor"
"R3","1","390R,1%","XaltenFootprints:R0603","~","","","","","","","","Resistor"
"R5","1","430R,1%","XaltenFootprints:R0603","~","","","","","","","","Resistor"
"R6","1","140R,1%","XaltenFootprints:R0603","~","","","","","","","","Resistor"
"R9,R10,R11,R14,R47","5","10K,1%","XaltenFootprints:R0603","~","","","","","","","","Resistor"
"R12,R15","2","4R7,1%","XaltenFootprints:R0603","~","","","","","","","","Resistor"
"R13,R16","2","2R2,1%","XaltenFootprints:R0603","~","","","","","","","","Resistor"
"R17,R18","2","12R,1%","XaltenFootprints:R0603","~","","","","","","","","Resistor"
"R19","1","330R,1%","XaltenFootprints:R0603","~","","","","","","","","Resistor"
"R20,R21,R22,R33,R46,R48,R49,R51","8","1K,1%","XaltenFootprints:R0603","~","","","","","","","","Resistor"
"R25,R26","2","120R,1%","XaltenFootprints:R0603","~","","","","","","","","Resistor"
"R27,R37,R50","3","0R","XaltenFootprints:R0603","~","","","","","","","","Resistor"
"R28","1","4K7,1%","XaltenFootprints:R0603","~","","","","","","","","Resistor"
"R29,R30","2","10R,1%","XaltenFootprints:R0603","~","","","","","","","","Resistor"
"R31","1","100K,1%","XaltenFootprints:R0603","~","","","","","","","","Resistor"
"R32","1","2R5,1%","XaltenFootprints:R0603","~","","","","","","","","Resistor"
"R34,R36","2","3K3,1%","XaltenFootprints:R0603","~","","","","","","","","Resistor"
"R35","1","33R,1%","XaltenFootprints:R0603","~","","","","","","","","Resistor"
"R38","1","11K5,1%","XaltenFootprints:R0603","~","","","","","","","","Resistor"
"R39","1","8K06,0.1%","XaltenFootprints:R0603","~","","","","","","","","Resistor"
"R40","1","3K16,0.1%","XaltenFootprints:R0603","~","","","","","","","","Resistor"
"R41","1","4K99,0.1%","XaltenFootprints:R0603","~","","","","","","","","Resistor"
"R42","1","2K26,0.1%","XaltenFootprints:R0603","~","","","","","","","","Resistor"
"R43,R44,R45","3","2K67,0.1%","XaltenFootprints:R0603","~","","","","","","","","Resistor"
"U1,U2,U3","3","MIC29302WU-TR","Echosounder Transceiver FP:TO-263-5","","MIC29302WU-TR","Element14","2510027","https://in.element14.com/microchip/mic29302wu-tr/ldo-reg-26vin-3a-adj-5to263/dp/2510027","264.84","REG-ADJ","Microchip","Adjustable linear voltage regulator, -20V to +60V In, 3A, TO-263"
"U4","1","MIC5365-2.5YC5-TR","Echosounder Transceiver FP:SC-70","MIC5365-2.5YC5-TR","MIC5365-2.5YC5-TR","Element14","2510356","https://in.element14.com/microchip/mic5365-2-5yc5-tr/ldo-volt-reg-0-15a-2-5v-sc-70/dp/2510356","10.85","REG-2.5V-150mA","Micrel","LDO, 0 to 6V In, 2.5V Out, 150mA, 155mV dropout, SC70"
"U5","1","LM337IMP/NOPB","Echosounder Transceiver FP:SOT-223","","LM337IMP/NOPB","Element14","3008044","https://in.element14.com/texas-instruments/lm337imp-nopb/linear-volt-reg-1-2-37v-1-5a-sot223/dp/3008044","224.25","REG-ADJ-1.5A","Texas Instruments","Adjustable Negative Voltage Regulator, -1.5A, -1.25V to -37V, SOT-223"
"U6","1","B65821C1008T1","Echosounder Transceiver FP:RM6","","B65821C1008T1","Mouser","871-B65821C1008T1","https://www.mouser.in/ProductDetail/EPCOS-TDK/B65821C1008T1?qs=wDNl1cNI0GtNpTcOPak0zw%3D%3D","191.4","","TDK","Coilformer, RM6"
"U7","1","MAX485CSA+T","XaltenFootprints:SOIC-8-5.3x5.3x1.27","MAX485CSA+T","MAX485CSA+T","Element14","2512123","https://in.element14.com/maxim-integrated-products/max485csa-t/rs422-rs485-txrx-2-5mbps-5-25v/dp/2512123","474.08","","Analog Devices",""
